File_type:	TLK 
[23]Text:	Andere Sch%fctzen%0a%0aGrad: KLE 2, PAL 2, Schutz 2  %0aKalkulationsgrad: 2  %0aSchule: Bannzauber  %0aKategorie:  %0aKomponenten: V, G    %0aWirkungsbereich/Ziel: 1 Wesen  %0aWirkungsdauer: 1 Stunde/Stufe  %0aGegenzauber:    %0aRettungswurf: Keiner  %0aZauberresistenz: Nein  %0a  %0aDieser Zauber sch%fctzt das Zielsubjekt und erschafft eine mystische Verbindung zwischen ihm und dem Zaubernden, so das einige der Wunden des Ziels auf diesen %fcbertragen werden. Das Ziel erh%e4lt einen +1 Reflektionsbonus auf seine R%fcstungsklasse sowie +1 auf alle Rettungsw%fcrfe. Zus%e4tzlich erleidet das Ziel nur halben Schaden durch alle Wunden und Angriffe (einschliesslich solchen, der durch Spezialf%e4higkeiten zugef%fcgt wird), die Trefferpunkt-Schaden zuf%fcgen. Der Schaden, den das Zielwesen nicht erleidet, wirkt auf den Zaubernden. Andere Schadensformen, die keine Trefferpunkte beeinflussen, so wie Verzauberungseffekte, tempor%e4re Attributsverluste, Stufenentzug und Todesmagie werden nicht beeinflusst. Wenn das Ziel eine Reduktion seiner Trefferpunkte durch verminderte Konstitution erleidet, wird der Schaden nicht halbiert, da es sich nicht um Trefferpunkt-Schaden handelt. Wenn der Zauber endet, wird folgender Schaden nicht mehr %fcbertragen, der bereits %fcbertragene Schaden verbleibt jedoch beim Zaubernden.
[24]Text:	Andere Schuetzen
[25]Text:	Phantomfalle
[26]Text:	Phantomfalle  %0a  %0aGrad: MAG/HXM 2  %0aKalkulationsgrad: 2  %0aSchule: Illusion  %0aKategorie:  %0aKomponenten: V, G    %0aReichweite:  Ber%fchrung  %0aWirkungsbereich/Ziel: Das ber%fchrte Objekt  %0aWirkungsdauer: Permanent  %0aGegenzauber:    %0aRettungswurf: Keiner  %0aZauberresistenz: Nein  %0a  %0aDieser Zauber l%e4sst ein Schloss oder einen kleinen Mechanismus so erscheinen, als w%e4re er mit einer Falle versehen. Der Zauber kann auf jeden kleinen Mechanismus oder jedes Ger%e4t gewirkt werden, wie ein Schloss, einen Verschluss, Korken, Haken, ein Scharnier oder eine Klinke. Jeder Charakter der in der Lage ist, Fallen zu entdecken, oder der einen Zauber nutzt, der in der Lage ist, Fallen zu entdecken, ist sich 100%25ig sicher, das eine reale Falle existiert. Nat%fcrlich ist der Effekt illusion%e4r und nichts passiert, wenn die Falle ausgel%f6st wird; ihr prim%e4rer Zweck ist es, Eindringlinge abzuschrecken oder um sie wertvolle Zeit verschwenden zu lassen.  %0a  %0aWenn bereits eine Phantomfalle in 15 Metern umkreis existiert, schl%e4gt der Zauber fehl. 
[27]Text:	Phantomfalle
[28]Text:	Alarm
[29]Text:	Alarm  %0a  %0aGrad: BAR 1, WAL 1, MAG/HXM 1  %0aKalkulationsgrad: 1  %0aSchule: Bannzauber  %0aKategorie:  %0aKomponenten: V, G    %0aWirkungsbereich/Ziel: 12 Meter Radius um einen Punkt im Raum.  %0aWirkungsdauer: 2 Stunden/Stufe  %0aGegenzauber:    %0aRettungswurf: Keiner  %0aZauberresistenz: Nein  %0a  %0aAlarm erzeugt einen geistigen Alarm, sobald eine Kreatur von winziger oder gr%f6%dferer Gr%f6%dfe das Gebiet, das vom Zauber bewacht wird, betritt oder es ber%fchrt. %0a  %0aDie Arkane alamiert den Zaubernden (und nur diesen), sobald jemand den Alarm ausl%f6st. Er nimmt ein einzelnes geistiges "Ping" wahr, das ihn aus normalem Schlaf erwachen l%e4sst, jedoch keine andersartige Konzentration st%f6rt. Ein "Stille" Zauber hat keine Auswirkungen auf geistige Alarme.  %0a  %0a  %0a%c4therische oder Astrale Wesen l%f6sen den Alarm nicht aus.
[30]Text:	Alarm
[31]Text:	Polymorph
[32]Text:	Polymorph  %0a  %0aGrad: MAG/HXM 4  %0aKalkulationsgrad: 4  %0aSchule: Verwandlung  %0aKategorie:  %0aKomponenten: V, G    %0aReichweite:  Ber%fchrung  %0aWirkungsbereich/Ziel: Das ber%fchrte, bereitwillige Wesen  %0aGegenzauber:    %0aRettungswurf: Keiner  %0aZauberresistenz: Nein  %0a  %0aDieser Zauber wirkt genau wie Selbstverwandlung, mit der Ausnahme, das das bereitwillige Wesen in eine andere, lebende Kreatur verwandelt wird. Die neue Form kann von vom selben Typ wie die Kreatur sein, oder aus der folgenden Liste: Aberrationen, Tiere, Drachen, Feenwesen, Riesen, Humanoide, Magische Bestien, Monstr%f6se Humanoide, Schleim, Pflanze oder Ungeziefer. Die angestrebte Form kann nicht mehr Trefferw%fcrfel als die Zauberstufe (oder die alten Trefferw%fcrfel /Klassenstufen, was immer niedriger ist) besitzen, bis zu einem Maximum von 15 TW auf Stufe 15. Der zauber kann das Wesen nicht kleiner als winzig werden lassen, noch in eine gasf%f6rmige oder %e4therische Form bringen. Der Kreaturentyp und Subtyp (so vorhanden) wechselt zu dem der neuen Form.  %0a  %0aW%e4hrend der Verwandlung regeneriert das Subjekt Trefferpunkte, als h%e4tte es eine Nacht geruht (obwohl die Heilung keine tempor%e4r verlorenen Eigenschaftspunkte zur%fcckerlangen l%e4sst, oder andere Vorz%fcge einer Rast mit sich bringt; die Zur%fcckverwandlung heilt die Kreatur nicht mehr.). Wenn das Wesen erschlagen wird, verwandelt es sich zu seiner urspr%fcnglichen Form zur%fcck, verbleibt aber tot.  %0a  %0aDas Wesen erh%e4lt die St%e4rke, Gechicklichkeit und Konstitutionswerte der neuen Form, beh%e4lt aber seine eigenen Werte f%fcr Intelligenz, Weisheit und Charisma. Ebenso erh%e4lt es Zugriff auf die aussergew%f6hnlichen Angriffe der neuen Form, jedoch nicht die speziellen Eigenschaften der neuen Gestalt oder %fcbernat%fcrliche und zauber%e4hnliche Eigenschaften.  %0a  %0aUnk%f6rperliche oder gasf%f6rmige Wesen sind immun gegen "Polymorph", und jede Kreatur kann sich jederzeit zu ihrer Grundform zur%fcckverwandeln. 
[33]Text:	Polymorph
[34]Text:	Hauskatze
[35]Text:	Kleines Energieschild
[36]Text:	Grosses Energieschild
[37]Text:	Turm-Energieschild
[38]Text:	kleines energieschild spelldesc
[39]Text:	kleines energieschild altmsg
[40]Text:	g ebs spelldesc
[41]Text:	g ebs altmsg
[42]Text:	t ebs spelldesc
[43]Text:	t ebs altmsg
[44]Text:	Base Armor Class: +1%0aArmor Check Penalty: 0%0aArcane Spell Failure: 0%25%0aFeats Required: Shields
[45]Text:	Base Armor Class: +2%0aArmor Check Penalty: 0%0aArcane Spell Failure: 0%25%0aFeats Required: Shields
[46]Text:	Base Armor Class: +3%0aArmor Check Penalty: 0%0aArcane Spell Failure: 0%25%0aFeats Required: Shields
[47]Text:	Kraut
[48]Text:	Kr%e4uter aller Arten k%f6nnen f%fcr die Alchemie, die Verzauberung und zum Kochen benutzt werden.
[49]Text:	Kraut (laenglich)
[50]Text:	Kraut (gross)
[51]Text:	Zone der Stille
[52]Text:	Zone der Stille %0a%0aIllusion %0aGrad: BAR 4 %0aKomponenten: V, S %0aReichweite: Selbst %0aGebiet: 5 Fuß um den Zaubernden %0aDauer: 1 Stunde / Stufe %0a%0aDer Zauber manipuliert die Schallwellen in der unmittelbaren Umgebung des Zaubernden sodass dieser und andere innerhalb der Zauberreichweite normal sprechen können, Aussenstehende jedoch weder Stimme noch andere Töne vernehmen können, einschließlich Zaubereffekte die somatische Komponenten vorraussetzen sowie Schallzauber. Der Effekt ist fixiert auf den Zaubernden und bewegt sich mit ihm. Jeder der die Zone betritt, wird sofort durch den Zauber betroffen, jene die sie verlassen, jedoch nicht mehr. Ein Gespräch kann dennoch durch einen erfolgreichen Entdeckenwurf (Lippen lesen) verstanden werden. %0a%0aLippen lesen:%0a Um Lippen zu lesen muss sich die Person in einer Reichweite von 10 Metern befinden, die Person sprechen sehen sowie die gesprochene Sprache verstehen. Der Standard SG beträgt 15 doch steigt bei elaboriertem Sprachgebrauch oder einem undeutlichen Sprecher. Blick auf die Lippen ist umbedingt notwendig um Lippen zu lesen. %0aWenn der Entdeckenwurf gelingt, lässt sich das gesprochene einer Minute grundlegend verstehen, doch entgehenden dem Leser gewisse Details. Sollte der Wurf um 4 oder mehr unter dem SG liegen, so können die Lippen nicht gelesen werden. Scheitert der Wurf um 5 oder mehr, so zieht der Leser falsche Schlüsse aus dem gesprochenen. Der Wurf wird verdeckt gewürfelt sodass der Leser nicht weiß wie hoch sein Wurf war.
[53]Text:	Kleiner Container
[54]Text:	Nicht ablegbar
[55]Text:	Nicht aus der Hand legbar
